,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name
188,2013-07-08,2013,7,8,1,Monday,28,False,True,False,
189,2013-07-09,2013,7,9,2,Tuesday,28,False,True,False,
190,2013-07-10,2013,7,10,3,Wednesday,28,False,True,False,
191,2013-07-11,2013,7,11,4,Thursday,28,False,True,False,
192,2013-07-12,2013,7,12,5,Friday,28,False,True,False,
193,2013-07-13,2013,7,13,6,Saturday,28,True,False,False,
194,2013-07-14,2013,7,14,7,Sunday,28,True,False,False,
195,2013-07-15,2013,7,15,1,Monday,29,False,True,False,
196,2013-07-16,2013,7,16,2,Tuesday,29,False,True,False,
197,2013-07-17,2013,7,17,3,Wednesday,29,False,True,False,
198,2013-07-18,2013,7,18,4,Thursday,29,False,True,False,
199,2013-07-19,2013,7,19,5,Friday,29,False,True,False,
200,2013-07-20,2013,7,20,6,Saturday,29,True,False,False,
201,2013-07-21,2013,7,21,7,Sunday,29,True,False,False,
202,2013-07-22,2013,7,22,1,Monday,30,False,True,False,
203,2013-07-23,2013,7,23,2,Tuesday,30,False,True,False,
204,2013-07-24,2013,7,24,3,Wednesday,30,False,True,False,
205,2013-07-25,2013,7,25,4,Thursday,30,False,True,False,
206,2013-07-26,2013,7,26,5,Friday,30,False,True,False,
207,2013-07-27,2013,7,27,6,Saturday,30,True,False,False,
208,2013-07-28,2013,7,28,7,Sunday,30,True,False,False,
209,2013-07-29,2013,7,29,1,Monday,31,False,True,False,
210,2013-07-30,2013,7,30,2,Tuesday,31,False,True,False,
211,2013-07-31,2013,7,31,3,Wednesday,31,False,True,False,
212,2013-08-01,2013,8,1,4,Thursday,31,False,True,False,
213,2013-08-02,2013,8,2,5,Friday,31,False,True,False,
214,2013-08-03,2013,8,3,6,Saturday,31,True,False,False,
215,2013-08-04,2013,8,4,7,Sunday,31,True,False,False,
216,2013-08-05,2013,8,5,1,Monday,32,False,True,False,
217,2013-08-06,2013,8,6,2,Tuesday,32,False,True,False,
218,2013-08-07,2013,8,7,3,Wednesday,32,False,True,False,
219,2013-08-08,2013,8,8,4,Thursday,32,False,True,False,
220,2013-08-09,2013,8,9,5,Friday,32,False,True,False,
221,2013-08-10,2013,8,10,6,Saturday,32,True,False,False,
222,2013-08-11,2013,8,11,7,Sunday,32,True,False,False,
223,2013-08-12,2013,8,12,1,Monday,33,False,True,False,
224,2013-08-13,2013,8,13,2,Tuesday,33,False,True,False,
225,2013-08-14,2013,8,14,3,Wednesday,33,False,True,False,
226,2013-08-15,2013,8,15,4,Thursday,33,False,True,False,
227,2013-08-16,2013,8,16,5,Friday,33,False,True,False,
228,2013-08-17,2013,8,17,6,Saturday,33,True,False,False,
229,2013-08-18,2013,8,18,7,Sunday,33,True,False,False,
230,2013-08-19,2013,8,19,1,Monday,34,False,True,False,
231,2013-08-20,2013,8,20,2,Tuesday,34,False,True,False,
232,2013-08-21,2013,8,21,3,Wednesday,34,False,True,False,
233,2013-08-22,2013,8,22,4,Thursday,34,False,True,False,
234,2013-08-23,2013,8,23,5,Friday,34,False,True,False,
235,2013-08-24,2013,8,24,6,Saturday,34,True,False,False,
236,2013-08-25,2013,8,25,7,Sunday,34,True,False,False,
237,2013-08-26,2013,8,26,1,Monday,35,False,True,False,
238,2013-08-27,2013,8,27,2,Tuesday,35,False,True,False,
239,2013-08-28,2013,8,28,3,Wednesday,35,False,True,False,
240,2013-08-29,2013,8,29,4,Thursday,35,False,True,False,
241,2013-08-30,2013,8,30,5,Friday,35,False,True,False,
242,2013-08-31,2013,8,31,6,Saturday,35,True,False,False,
243,2013-09-01,2013,9,1,7,Sunday,35,True,False,False,
244,2013-09-02,2013,9,2,1,Monday,36,False,True,False,
245,2013-09-03,2013,9,3,2,Tuesday,36,False,True,False,
246,2013-09-04,2013,9,4,3,Wednesday,36,False,True,False,
247,2013-09-05,2013,9,5,4,Thursday,36,False,True,False,
248,2013-09-06,2013,9,6,5,Friday,36,False,True,False,
249,2013-09-07,2013,9,7,6,Saturday,36,True,False,False,
250,2013-09-08,2013,9,8,7,Sunday,36,True,False,False,
251,2013-09-09,2013,9,9,1,Monday,37,False,True,False,
252,2013-09-10,2013,9,10,2,Tuesday,37,False,True,False,
253,2013-09-11,2013,9,11,3,Wednesday,37,False,True,False,
